LST S1PAGING:;%%
RETCODE = 0  操作成功
输出结果如下：
--------------
 框号    槽号    进程号  移动国家码_移动网号  eNodeB类型  eNodeB标识  Tracking area ID  RAT类型    NB-IoT Default Paging DRX
 1       4       2       46000                MACRO_ENB   278538      460007382         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   143002      460007495         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   537264      460007382         WB-EUTRAN  2.56秒                   
 1       4       2       46000                MACRO_ENB   395388      46000E3D1         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   396082      46000742C         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   463691      46000E372         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   255083      460007363         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   462935      460007373         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   254785      4600073CF         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   464212      46000E36B         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   254057      4600073CF         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   54928       46000E352         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   1037845     46000744B         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   537817      46000E3E9         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   278993      46000E3EA         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   396206      46000730D         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   462846      4600073AF         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   775372      46000E360         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   774975      46000E36D         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   776790      460001F61         NB-IoT     2.56秒                   
 1       4       2       46000                MACRO_ENB   542021      460007446         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   541626      460001F5E         NB-IoT     10.24秒                  
 1       4       2       46000                MACRO_ENB   254679      460007448         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   279065      460007382         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   462888      4600073AF         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   254385      4600073CF         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   254983      4600073C3         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   542227      460007383         WB-EUTRAN  NULL                     
 1       4       2       46000                MACRO_ENB   537712      46000E36B         WB-EUTRAN  NULL                     
